         472639 function calls (450277 primitive calls) in 1.746 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.001    0.000    0.004    0.000 typing.py:1830(__class_getitem__)
        1    0.000    0.000    0.004    0.004 profiledir.py:1(<module>)
       21    0.000    0.000    0.004    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.004    0.004 base_value.py:1(<module>)
        1    0.000    0.000    0.004    0.004 osm.py:32(OSMagics)
      241    0.001    0.000    0.004    0.000 typing.py:1279(__init__)
        2    0.000    0.000    0.004    0.002 errors.py:1(<module>)
       11    0.001    0.000    0.004    0.000 typing.py:2910(__new__)
     2273    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:405(parent)
       14    0.000    0.000    0.004    0.000 typing.py:2891(_make_nmtuple)
      528    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1518    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.004    0.004 code.py:1(<module>)
        4    0.000    0.000    0.004    0.001 _json.py:78(to_json_plotly)
        1    0.000    0.000    0.004    0.004 vt100_parser.py:1(<module>)
       47    0.001    0.000    0.004    0.000 shutil.py:1426(get_terminal_size)
        1    0.000    0.000    0.004    0.004 embed.py:31(EmbeddedMagics)
     2063    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     3036    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       84    0.000    0.000    0.003    0.000 basevalidators.py:16(fullmatch)
        1    0.000    0.000    0.003    0.003 function.py:1(<module>)
     5150    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.003    0.000 html.py:33(__init__)
        1    0.000    0.000    0.003    0.003 display.py:26(DisplayMagics)
      704    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
     1033    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
    11119    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      704    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
      206    0.001    0.000    0.003    0.000 enum.py:1525(__and__)
      506    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
      672    0.003    0.000    0.003    0.000 <frozen ntpath>:154(splitdrive)
       20    0.000    0.000    0.003    0.000 basedatatypes.py:1849(_set_in)
        1    0.000    0.000    0.003    0.003 process.py:1(<module>)
        7    0.000    0.000    0.003    0.000 <decorator-gen-7>:1(catch_corrupt_db)
       35    0.002    0.000    0.003    0.000 textwrap.py:238(_wrap_chunks)
